accuracy,precision,recall,f1,ap,auc
0.662062193898114,0.5889503157471255,0.662062193898114,0.575709925361314,0.6330449752722624,0.7198265816928529
0.7007206162391058,0.7107662094577512,0.7007206162391058,0.6840451932188372,0.7095402399542152,0.7457660863466953
0.45907735634544156,0.47957537994805155,0.45907735634544156,0.4081892073389455,0.4754226957755682,0.5115714307046549
0.4635418304276578,0.5204617100617542,0.4635418304276578,0.4409693768287446,0.4356150060655428,0.5048096191414696
0.5424950106675052,0.5617509512792989,0.5424950106675052,0.5163549194371514,0.47260134615509525,0.514929211704081
0.5853931714448902,0.5863676414364158,0.5853931714448902,0.5238541394131547,0.506988925981783,0.5711960871032493
0.6241941158766422,0.5694087973825576,0.6241941158766422,0.5052966864066665,0.5456532779089794,0.6093782529261544
0.630774978743624,0.6187262649079246,0.630774978743624,0.5208858000938175,0.4964766260258215,0.5293300767030289
0.6212685535063424,0.5957786994258516,0.6212685535063424,0.506125544363289,0.48723119310927915,0.539340215359154
0.6187968356502859,0.5549805969952414,0.6187968356502859,0.484949631501587,0.4771024808630438,0.5225116141157565
0.6230300022763341,0.581905604498087,0.6230300022763341,0.5013780378762784,0.5195985567068742,0.5803450338442561
0.6169958395123324,0.466893157213591,0.6169958395123324,0.4777890828691339,0.4903500361177106,0.5447459367139184
0.6242311324892773,0.5898303250869404,0.6242311324892773,0.4954115602563869,0.5295605865404148,0.5804578942243849
0.6215526203047657,0.5127608250426913,0.6215526203047657,0.49302965629765066,0.4739026584716986,0.5207840173437708
