accuracy,precision,recall,f1,ap,auc
0.7440089811948482,0.7653220172538712,0.7440089811948482,0.7439037131136615,0.7364517188065923,0.7891414903180327
0.7232619909806188,0.7341121990561102,0.7232619909806188,0.7159196406092866,0.7171873155755414,0.7720251006131305
0.744901662354101,0.7588664862076144,0.744901662354101,0.7414193611582098,0.7473547125931286,0.8233537645453228
0.7561018029115446,0.7733577781985782,0.7561018029115446,0.7556186036431839,0.7828638596773216,0.8501452884070148
0.7836074678858628,0.7995189563168512,0.7836074678858628,0.7832120961686395,0.8148170915265137,0.8732557863551726
0.7967248083660906,0.814714091415623,0.7967248083660906,0.7972646061020849,0.841734356030844,0.8902261053547526
0.8078204611728932,0.8242780621326715,0.8078204611728932,0.8080541266458271,0.855182004110263,0.8982515610953573
0.8077301528965153,0.823746630334201,0.8077301528965153,0.8081144796710689,0.8552998294272804,0.8996621936613696
0.8164636614663312,0.8330681191412393,0.8164636614663312,0.8167356323029153,0.8713978163157832,0.9074224940075258
0.8227584624541199,0.8370113240636304,0.8227584624541199,0.8229444265093165,0.8748581371872147,0.9100471583200285
0.8280638320189458,0.8435530595457467,0.8280638320189458,0.828260395354177,0.8846755834548207,0.9174531523834253
0.8339554995997007,0.8469283995498104,0.8339554995997007,0.8344706261898494,0.890058197378174,0.9215184642825995
0.8391199453525876,0.8522779789893522,0.8391199453525876,0.8396688085271935,0.8945040334796256,0.9245465099389338
0.8381700006139099,0.8526825942818403,0.8381700006139099,0.8384518015204021,0.8997465551248748,0.9275852752848898
0.838547727119684,0.8519146787233519,0.838547727119684,0.8388153422445073,0.897668958725996,0.9250737755125387
0.8438649794560321,0.8555494550903955,0.8438649794560321,0.8439386831206083,0.9029753960002478,0.929950253580784
0.8479570368268962,0.8587159365469103,0.8479570368268962,0.8482922388140768,0.90473926146015,0.9316915977705318
0.8493765488878173,0.8621414385231702,0.8493765488878173,0.8497750140739732,0.9093195587154796,0.9339359047119484
0.8562617124920056,0.8661800686851968,0.8562617124920056,0.856481014759158,0.9139985020820539,0.9369861438071809
0.8499399897164542,0.8625037761373517,0.8499399897164542,0.8502989394259599,0.9135785047420596,0.9362345653452568
0.8541881731621257,0.8652637551504985,0.8541881731621257,0.8546262112830291,0.9152297018936524,0.9389220774267594
0.8518453478127833,0.8660198153909114,0.8518453478127833,0.8520723152518296,0.917336298999592,0.9404397835541655
0.8526150561288033,0.8655901122052535,0.8526150561288033,0.8526383703989436,0.9175198089316304,0.9403943072276254
0.8602940459529884,0.8712376919883298,0.8602940459529884,0.8604644446156714,0.9231340106923264,0.9433720537708302
0.8622792096536469,0.873136436268926,0.8622792096536469,0.8626128815204765,0.9233308625039727,0.9446993075942346
0.8662770566445759,0.8776610532066095,0.8662770566445759,0.8665508668599659,0.9281896570307708,0.9479045871636727
0.8671878036325172,0.878160473298464,0.8671878036325172,0.8674287513799215,0.9284150328499743,0.947313801687954
0.8691419479157665,0.8792887816305435,0.8691419479157665,0.8690758471671757,0.9293586288376942,0.9492591464798018
0.8695172825923929,0.8798742879303098,0.8695172825923929,0.8697495523447247,0.9307658596767455,0.9491439401490371
0.868260483870382,0.8797980766576068,0.868260483870382,0.8684975676730842,0.9314032748148644,0.9497700789277264
0.873959014383924,0.8849147227834075,0.873959014383924,0.8743181254039348,0.9326950953194637,0.9519239556309594
0.8707675134981111,0.8830813146353228,0.8707675134981111,0.8709790632055167,0.933582135068934,0.9523810050418018
0.8739583541977567,0.8837935500823914,0.8739583541977567,0.874244660602571,0.9351195589267727,0.9522913060617622
0.8725604330404847,0.8841715963281476,0.8725604330404847,0.8727219282376151,0.9351006957919086,0.9534047833805951
0.8743213992144098,0.8843076440143871,0.8743213992144098,0.8746448005868539,0.9360319682733041,0.9539237690213416
0.8774378079597723,0.8876182757330432,0.8774378079597723,0.877671966511869,0.9332687058286421,0.9521667284694567
0.8765111430607455,0.8871360627786895,0.8765111430607455,0.8767354878168099,0.937816316084418,0.9545734154991325
0.8809512697436064,0.890763859982035,0.8809512697436064,0.881194879440114,0.938094073086637,0.95485945275485
0.880333971176876,0.8902889970797708,0.880333971176876,0.880609362804963,0.9400828563110367,0.9570812564513738
0.879074163884863,0.8898360613597104,0.879074163884863,0.8794196320788663,0.9417291110789354,0.9573694537808838
0.881048393391815,0.8918385167333512,0.881048393391815,0.8812736285341106,0.9417072877748165,0.9576176639304596
0.8837417889150514,0.8943029502762246,0.8837417889150514,0.8839337458682051,0.9430990348184151,0.9584212561685643
0.8817545037675776,0.8934672632864356,0.8817545037675776,0.8820239449341498,0.9417097414587122,0.9578005489058243
0.8838356099783184,0.8948124335886302,0.8838356099783184,0.8842310782315499,0.9441477302527942,0.9593441006829788
0.8831372976233273,0.8934878604121779,0.8831372976233273,0.8834124589320747,0.9424190023715865,0.9582397235540623
0.8853605127673573,0.895078001795322,0.8853605127673573,0.885563303533904,0.9430275576665763,0.9581627442054431
0.8873949794339078,0.8980514054814726,0.8873949794339078,0.8876119053852772,0.9459447563830556,0.9601356789292271
0.8853785528612541,0.8969116857598193,0.8853785528612541,0.885759990478625,0.9446163699637214,0.9604515931958338
0.8864114554281259,0.8968930729517407,0.8864114554281259,0.886628836689722,0.9447743683256531,0.9602790435478055
0.8851759689227588,0.8962543498294019,0.8851759689227588,0.8852922981627777,0.9450727620018005,0.9600936163754145
0.8866147646650104,0.8964636739883011,0.8866147646650104,0.887006842026776,0.9473000009491181,0.9614225773764175
0.8885925705082451,0.898421167580746,0.8885925705082451,0.8889093114888859,0.9476607060421532,0.9614675257946191
0.8894342769004286,0.898735873969345,0.8894342769004286,0.8897766934898669,0.9485888210088675,0.962620816927919
0.8862908476648238,0.8970897456526918,0.8862908476648238,0.8865676200414521,0.94761052122028,0.9617696415941375
0.8913458188319384,0.901141861170362,0.8913458188319384,0.8917011365156416,0.9503688288273159,0.9638304579606454
0.8882208371193142,0.8982397959261404,0.8882208371193142,0.8884760562939625,0.9470787098566685,0.9615324507123327
0.891793104318622,0.9017576621377328,0.891793104318622,0.8920890365046042,0.9510618619738955,0.964401173391991
0.8917594196559891,0.9010192962944968,0.8917594196559891,0.8919493653366171,0.9501011552666183,0.9635494102887655
0.8919819686034216,0.9022515274980754,0.8919819686034216,0.8922266527308197,0.9505202909729096,0.9642742161547025
0.8924870131673995,0.9028262274570955,0.8924870131673995,0.8926622815670943,0.9519162073506793,0.9653010585307088
0.8923241048163209,0.9018910719266455,0.8923241048163209,0.8925479830603866,0.9488686232413504,0.9627958371874105
0.8936754958122199,0.9025259084109923,0.8936754958122199,0.8940108992116947,0.9513604271533631,0.9645844294871915
0.8957733042192206,0.9044666741809699,0.8957733042192206,0.8959519625612822,0.9522691491393508,0.9656915040510622
0.8934655355536544,0.903738897104901,0.8934655355536544,0.8936964388651952,0.9532128674777437,0.9655471495274462
0.8976265288797824,0.9062197948422078,0.8976265288797824,0.8979664202260544,0.9542109636003271,0.9667682516826813
0.8945604686708405,0.9054107541942282,0.8945604686708405,0.8948648989840438,0.9530749968492737,0.9660773381647091
0.8940016190136019,0.9035970315874724,0.8940016190136019,0.8943956785525774,0.9510900377782346,0.9649928623973689
0.894850273730726,0.9049768440056524,0.894850273730726,0.8951458628285455,0.9524246582368602,0.9655372004218409
