accuracy,precision,recall,f1,ap,auc
0.7822482730121926,0.8069038012400396,0.7822482730121926,0.7684560172626836,0.788302646950679,0.7820596654729518
0.5695212397871738,0.368258202018166,0.5695212397871738,0.43855426296074124,0.5184841167938301,0.49996959898869453
0.6135962536603478,0.500490132249445,0.6135962536603478,0.4822027545319455,0.4783227667501306,0.4972759661035988
0.6169962452604131,0.49165339091003324,0.6169962452604131,0.4782600974445727,0.4790645714515469,0.5352851833831684
0.6236259729505131,0.6041615765805546,0.6236259729505131,0.5233218379326512,0.4973263563127756,0.5301014703834128
0.5964931479567517,0.5773999398807541,0.5964931479567517,0.5119409498911758,0.5111158448217169,0.5372141549011376
0.6283415309162573,0.5753121539229219,0.6283415309162573,0.5206314982234365,0.48040330133672643,0.5187146366960654
0.6232044004799295,0.5859007073761485,0.6232044004799295,0.5210713803713779,0.5049524677253691,0.5532982253222569
0.6300592765538979,0.6151777609386756,0.6300592765538979,0.5270951848098984,0.5004612732689215,0.5385035713472088
0.616827944147203,0.5213407082344184,0.616827944147203,0.4992767220649229,0.45010746508693117,0.5086506083669906
0.6175678515848558,0.46050224893659186,0.6175678515848558,0.47904743261533905,0.4585727821012216,0.5219155725378186
0.6252022292465359,0.563360800576558,0.6252022292465359,0.5054432714377635,0.504300922590382,0.5641672674646961
0.6219492379110535,0.5213185089828013,0.6219492379110535,0.49242226728553457,0.4565659688952682,0.5110646812134918
0.6146674621019723,0.48565391935273106,0.6146674621019723,0.47851549150460626,0.42621862132031013,0.47792402840781156
0.6232597400286317,0.5720650214602786,0.6232597400286317,0.49774055445752785,0.49517196941208214,0.5377399506502103
0.6162243667206777,0.526733887911503,0.6162243667206777,0.49069032686644143,0.42711656032011547,0.4857649357025425
0.6481702074738921,0.6521048261707281,0.6481702074738921,0.5493905239249394,0.5470995810598247,0.5857296695285951
0.6318324482574824,0.638484755339327,0.6318324482574824,0.5284819372829244,0.49846199631442645,0.5344480566396275
0.6395694570783769,0.6439991685914314,0.6395694570783769,0.5354125292416401,0.5342932884294965,0.5742805372544728
0.6295656061546558,0.5986243111880616,0.6295656061546558,0.5138371898418813,0.4915881989264926,0.5356484272698921
0.626228087591017,0.5664703789563109,0.626228087591017,0.49994934897925875,0.4580539538024604,0.5140185070910464
0.6189961961189855,0.5146350563432127,0.6189961961189855,0.48849601274746385,0.4462271743939465,0.5098502344144906
0.6276908420794897,0.5899747814659815,0.6276908420794897,0.5089015267334089,0.49449623140462945,0.5583904754971483
